iter	RMSE
0	70.28001212
1	68.00481197
2	65.8346775
3	63.88559194
4	62.13490229
5	60.48671356
6	58.96923237
7	57.62399118
8	56.35030834
9	55.17722098
10	54.13146881
11	53.13657117
12	52.27222057
13	51.41991134
14	50.65455626
15	49.98419455
16	49.33933409
17	48.75618239
18	48.22687307
19	47.75482974
20	47.38968376
21	46.98303413
22	46.55438381
23	46.20603782
24	45.84905915
25	45.54142505
26	45.24415249
27	45.00300672
28	44.76179027
29	44.53984186
30	44.34745391
31	44.1739087
32	43.93535063
33	43.77380636
34	43.63087844
35	43.49311746
36	43.37191212
37	43.25370222
38	43.14708293
39	43.05142535
40	42.96582521
41	42.88361754
42	42.8082958
43	42.73424191
44	42.65840807
45	42.59521123
46	42.54234527
47	42.4656786
48	42.41331493
49	42.37040906
50	42.32744275
51	42.29083796
52	42.15855762
53	42.12373501
54	42.08900896
55	42.05832611
56	42.01033853
57	41.98377378
58	41.95866912
59	41.9457831
60	41.91878034
61	41.89823968
62	41.87903374
63	41.86186721
64	41.83057702
65	41.81228722
66	41.79767959
67	41.76957671
68	41.75653558
69	41.73383952
70	41.72115015
71	41.71363639
72	41.70393463
73	41.69122086
74	41.68069274
75	41.67111216
76	41.64858938
77	41.64036244
78	41.63134797
79	41.61865097
80	41.61383664
81	41.60758035
82	41.60344291
83	41.57697784
84	41.57023607
85	41.56415725
86	41.55964032
87	41.55257629
88	41.54662432
89	41.54381426
90	41.53760539
91	41.31785209
92	41.31510985
93	41.3062271
94	41.3029076
95	41.30001682
96	41.2562237
97	41.24541633
98	41.22374358
99	41.1806276
100	41.160195
101	41.1537104
102	41.14841561
103	41.1438214
104	41.14197865
105	41.13972132
106	41.13770722
107	41.09924606
108	41.09728149
109	41.09545644
110	41.09363592
111	41.09170975
112	41.08917365
113	41.08740428
114	41.08617371
115	41.04907601
116	41.04482968
117	41.04181449
118	41.04064624
119	41.03851356
120	41.00423738
121	41.00261977
122	40.95231608
123	40.93867298
124	40.93734587
125	40.90542582
126	40.88807758
127	40.88624538
128	40.87193608
129	40.87041515
130	40.86877987
131	40.8525153
132	40.85159158
133	40.84195016
134	40.84053303
135	40.83541623
136	40.83400587
137	40.83265905
138	40.83142257
139	40.79978541
140	40.79833203
141	40.7471834
142	40.71801853
143	40.71672443
144	40.71589955
145	40.68963114
146	40.6784089
147	40.65660909
148	40.62717403
149	40.62588241
150	40.61616239
151	40.61485899
152	40.60535818
153	40.58073303
154	40.56717709
155	40.56580648
156	40.55793676
157	40.55656515
158	40.55600119
159	40.55080589
160	40.53308012
161	40.52176023
162	40.52006656
163	40.51937062
164	40.51172771
165	40.51050724
166	40.48186146
167	40.4808552
168	40.4728322
169	40.45139925
170	40.44855582
171	40.44799738
172	40.44751253
173	40.44074183
174	40.44013365
175	40.43966434
176	40.43259046
177	40.43212529
178	40.41584441
179	40.39924136
180	40.39504319
181	40.39409157
182	40.37877597
183	40.37365165
184	40.35856471
185	40.35814807
186	40.35721981
187	40.35683501
188	40.35637909
189	40.35599275
190	40.3412116
191	40.33910579
192	40.32747474
193	40.32120167
194	40.31498477
195	40.30958907
196	40.30909056
197	40.29426495
198	40.28029034
199	40.27985018
200	40.26523646
201	40.26482094
202	40.2641585
203	40.25408919
204	40.25219051
205	40.25190585
206	40.2270133
207	40.22555232
208	40.22425637
209	40.22400004
210	40.22275223
211	40.22243163
212	40.22129737
213	40.22095719
214	40.22004777
215	40.21969328
216	40.21938219
217	40.20507188
218	40.18707417
219	40.17381474
220	40.17261493
221	40.16676265
222	40.16639118
223	40.15227865
224	40.15195732
225	40.14721472
226	40.1440664
227	40.12143519
228	40.12096854
229	40.11990241
230	40.10719905
231	40.09430445
232	40.09098557
233	40.09078088
234	40.07475979
235	40.07372501
236	40.07179854
237	40.07152231
238	40.07128152
239	40.07031489
240	40.07009114
241	40.06950554
242	40.06028992
243	40.06008303
244	40.04774036
245	40.04257755
246	40.04237182
247	40.02802826
248	40.02786582
249	40.0276499
250	40.02730397
251	40.02701295
252	40.02610188
253	40.02592964
254	40.01724731
255	39.91521059
256	39.89656149
257	39.8864401
258	39.88475133
259	39.87089227
260	39.82662462
261	39.82300838
262	39.79862331
263	39.79846105
264	39.79761406
265	39.7761079
266	39.74748668
267	39.73794136
268	39.73586694
269	39.72252769
